name,family,n_customers,capacity,split,source_kind,source_url,local_path
A-n32-k5,A,31,100.0,train,tarball,https://registry.npmjs.org/vrpinstances/-/vrpinstances-1.0.3.tgz,D:\HGAT-POMO\datasets\cvrplib\A-n32-k5.vrp
A-n33-k5,A,32,100.0,test,tarball,https://registry.npmjs.org/vrpinstances/-/vrpinstances-1.0.3.tgz,D:\HGAT-POMO\datasets\cvrplib\A-n33-k5.vrp
A-n33-k6,A,32,100.0,train,tarball,https://registry.npmjs.org/vrpinstances/-/vrpinstances-1.0.3.tgz,D:\HGAT-POMO\datasets\cvrplib\A-n33-k6.vrp
A-n34-k5,A,33,100.0,train,tarball,https://registry.npmjs.org/vrpinstances/-/vrpinstances-1.0.3.tgz,D:\HGAT-POMO\datasets\cvrplib\A-n34-k5.vrp
A-n36-k5,A,35,100.0,train,tarball,https://registry.npmjs.org/vrpinstances/-/vrpinstances-1.0.3.tgz,D:\HGAT-POMO\datasets\cvrplib\A-n36-k5.vrp
A-n37-k5,A,36,100.0,val,tarball,https://registry.npmjs.org/vrpinstances/-/vrpinstances-1.0.3.tgz,D:\HGAT-POMO\datasets\cvrplib\A-n37-k5.vrp
A-n37-k6,A,36,100.0,train,tarball,https://registry.npmjs.org/vrpinstances/-/vrpinstances-1.0.3.tgz,D:\HGAT-POMO\datasets\cvrplib\A-n37-k6.vrp
A-n38-k5,A,37,100.0,train,tarball,https://registry.npmjs.org/vrpinstances/-/vrpinstances-1.0.3.tgz,D:\HGAT-POMO\datasets\cvrplib\A-n38-k5.vrp
A-n39-k5,A,38,100.0,train,tarball,https://registry.npmjs.org/vrpinstances/-/vrpinstances-1.0.3.tgz,D:\HGAT-POMO\datasets\cvrplib\A-n39-k5.vrp
A-n39-k6,A,38,100.0,test,tarball,https://registry.npmjs.org/vrpinstances/-/vrpinstances-1.0.3.tgz,D:\HGAT-POMO\datasets\cvrplib\A-n39-k6.vrp
A-n44-k6,A,43,100.0,train,tarball,https://registry.npmjs.org/vrpinstances/-/vrpinstances-1.0.3.tgz,D:\HGAT-POMO\datasets\cvrplib\A-n44-k6.vrp
A-n45-k6,A,44,100.0,train,tarball,https://registry.npmjs.org/vrpinstances/-/vrpinstances-1.0.3.tgz,D:\HGAT-POMO\datasets\cvrplib\A-n45-k6.vrp
A-n45-k7,A,44,100.0,train,tarball,https://registry.npmjs.org/vrpinstances/-/vrpinstances-1.0.3.tgz,D:\HGAT-POMO\datasets\cvrplib\A-n45-k7.vrp
A-n46-k7,A,45,100.0,train,tarball,https://registry.npmjs.org/vrpinstances/-/vrpinstances-1.0.3.tgz,D:\HGAT-POMO\datasets\cvrplib\A-n46-k7.vrp
A-n48-k7,A,47,100.0,val,tarball,https://registry.npmjs.org/vrpinstances/-/vrpinstances-1.0.3.tgz,D:\HGAT-POMO\datasets\cvrplib\A-n48-k7.vrp
A-n53-k7,A,52,100.0,test,tarball,https://registry.npmjs.org/vrpinstances/-/vrpinstances-1.0.3.tgz,D:\HGAT-POMO\datasets\cvrplib\A-n53-k7.vrp
A-n54-k7,A,53,100.0,train,tarball,https://registry.npmjs.org/vrpinstances/-/vrpinstances-1.0.3.tgz,D:\HGAT-POMO\datasets\cvrplib\A-n54-k7.vrp
A-n55-k9,A,54,100.0,val,tarball,https://registry.npmjs.org/vrpinstances/-/vrpinstances-1.0.3.tgz,D:\HGAT-POMO\datasets\cvrplib\A-n55-k9.vrp
A-n60-k9,A,59,100.0,train,tarball,https://registry.npmjs.org/vrpinstances/-/vrpinstances-1.0.3.tgz,D:\HGAT-POMO\datasets\cvrplib\A-n60-k9.vrp
A-n61-k9,A,60,100.0,train,tarball,https://registry.npmjs.org/vrpinstances/-/vrpinstances-1.0.3.tgz,D:\HGAT-POMO\datasets\cvrplib\A-n61-k9.vrp
A-n62-k8,A,61,100.0,train,tarball,https://registry.npmjs.org/vrpinstances/-/vrpinstances-1.0.3.tgz,D:\HGAT-POMO\datasets\cvrplib\A-n62-k8.vrp
A-n63-k10,A,62,100.0,train,tarball,https://registry.npmjs.org/vrpinstances/-/vrpinstances-1.0.3.tgz,D:\HGAT-POMO\datasets\cvrplib\A-n63-k10.vrp
A-n63-k9,A,62,100.0,val,tarball,https://registry.npmjs.org/vrpinstances/-/vrpinstances-1.0.3.tgz,D:\HGAT-POMO\datasets\cvrplib\A-n63-k9.vrp
A-n64-k9,A,63,100.0,train,tarball,https://registry.npmjs.org/vrpinstances/-/vrpinstances-1.0.3.tgz,D:\HGAT-POMO\datasets\cvrplib\A-n64-k9.vrp
A-n65-k9,A,64,100.0,test,tarball,https://registry.npmjs.org/vrpinstances/-/vrpinstances-1.0.3.tgz,D:\HGAT-POMO\datasets\cvrplib\A-n65-k9.vrp
A-n69-k9,A,68,100.0,train,tarball,https://registry.npmjs.org/vrpinstances/-/vrpinstances-1.0.3.tgz,D:\HGAT-POMO\datasets\cvrplib\A-n69-k9.vrp
A-n80-k10,A,79,100.0,train,tarball,https://registry.npmjs.org/vrpinstances/-/vrpinstances-1.0.3.tgz,D:\HGAT-POMO\datasets\cvrplib\A-n80-k10.vrp
B-n31-k5,B,30,100.0,test,tarball,https://registry.npmjs.org/vrpinstances/-/vrpinstances-1.0.3.tgz,D:\HGAT-POMO\datasets\cvrplib\B-n31-k5.vrp
B-n34-k5,B,33,100.0,train,tarball,https://registry.npmjs.org/vrpinstances/-/vrpinstances-1.0.3.tgz,D:\HGAT-POMO\datasets\cvrplib\B-n34-k5.vrp
