variant,seed,train_sec,eval_sec,model_best_mean,model_mean_mean,model_worst_mean,random_best_mean,random_mean_mean,random_worst_mean,improve_best_pct,metrics_path,model_path
full,0,60.869800,26.007492,152.409531,173.251953,196.610764,311.591705,381.093109,452.497681,51.086782,D:\HGAT-POMO\experiments\ablation_final_20260308\metrics\full_seed0.json,D:\HGAT-POMO\experiments\ablation_final_20260308\models\full_seed0.pt
full,1,55.119893,25.833026,154.650955,177.191452,200.902603,328.441406,382.133850,449.797333,52.913685,D:\HGAT-POMO\experiments\ablation_final_20260308\metrics\full_seed1.json,D:\HGAT-POMO\experiments\ablation_final_20260308\models\full_seed1.pt
full,2,52.030581,26.047071,153.306000,181.094131,212.299103,330.358582,393.609253,463.116760,53.594062,D:\HGAT-POMO\experiments\ablation_final_20260308\metrics\full_seed2.json,D:\HGAT-POMO\experiments\ablation_final_20260308\models\full_seed2.pt
no_traffic,0,56.509207,26.194610,151.587173,170.920624,193.049988,312.848938,382.173401,452.296417,51.546208,D:\HGAT-POMO\experiments\ablation_final_20260308\metrics\no_traffic_seed0.json,D:\HGAT-POMO\experiments\ablation_final_20260308\models\no_traffic_seed0.pt
no_traffic,1,56.485322,25.853925,152.206284,173.621994,194.531158,323.380768,379.960632,445.812927,52.932797,D:\HGAT-POMO\experiments\ablation_final_20260308\metrics\no_traffic_seed1.json,D:\HGAT-POMO\experiments\ablation_final_20260308\models\no_traffic_seed1.pt
no_traffic,2,55.247764,26.322062,152.899643,178.936142,205.432587,323.682831,383.890198,441.894531,52.762511,D:\HGAT-POMO\experiments\ablation_final_20260308\metrics\no_traffic_seed2.json,D:\HGAT-POMO\experiments\ablation_final_20260308\models\no_traffic_seed2.pt
no_time_window,0,54.994207,26.374672,45.865906,50.226814,54.242657,72.605537,82.752083,95.023552,36.828640,D:\HGAT-POMO\experiments\ablation_final_20260308\metrics\no_time_window_seed0.json,D:\HGAT-POMO\experiments\ablation_final_20260308\models\no_time_window_seed0.pt
no_time_window,1,56.682439,25.897927,45.912949,51.036045,55.690205,76.387604,85.082893,94.401604,39.894765,D:\HGAT-POMO\experiments\ablation_final_20260308\metrics\no_time_window_seed1.json,D:\HGAT-POMO\experiments\ablation_final_20260308\models\no_time_window_seed1.pt
no_time_window,2,55.782099,25.803967,45.488647,51.559292,57.394165,76.684479,86.667320,98.223259,40.680763,D:\HGAT-POMO\experiments\ablation_final_20260308\metrics\no_time_window_seed2.json,D:\HGAT-POMO\experiments\ablation_final_20260308\models\no_time_window_seed2.pt
no_soc,0,51.600726,22.939432,159.542618,180.801682,202.581451,285.204376,356.685516,424.137787,44.060249,D:\HGAT-POMO\experiments\ablation_final_20260308\metrics\no_soc_seed0.json,D:\HGAT-POMO\experiments\ablation_final_20260308\models\no_soc_seed0.pt
no_soc,1,49.919240,22.815400,165.723694,187.253448,207.878891,304.094910,373.717590,448.156647,45.502641,D:\HGAT-POMO\experiments\ablation_final_20260308\metrics\no_soc_seed1.json,D:\HGAT-POMO\experiments\ablation_final_20260308\models\no_soc_seed1.pt
no_soc,2,49.023937,22.755095,165.370895,186.046341,211.054749,299.380768,359.233398,427.945343,44.762352,D:\HGAT-POMO\experiments\ablation_final_20260308\metrics\no_soc_seed2.json,D:\HGAT-POMO\experiments\ablation_final_20260308\models\no_soc_seed2.pt
no_curriculum,0,74.099111,25.736063,154.918228,181.840057,212.820618,312.216797,382.236053,456.779266,50.381200,D:\HGAT-POMO\experiments\ablation_final_20260308\metrics\no_curriculum_seed0.json,D:\HGAT-POMO\experiments\ablation_final_20260308\models\no_curriculum_seed0.pt
no_curriculum,1,72.492895,26.657162,149.023880,177.821640,206.678864,314.053406,387.714172,465.068817,52.548236,D:\HGAT-POMO\experiments\ablation_final_20260308\metrics\no_curriculum_seed1.json,D:\HGAT-POMO\experiments\ablation_final_20260308\models\no_curriculum_seed1.pt
no_curriculum,2,74.857601,25.628127,152.980606,182.390869,215.583237,316.195374,387.560059,458.096405,51.618329,D:\HGAT-POMO\experiments\ablation_final_20260308\metrics\no_curriculum_seed2.json,D:\HGAT-POMO\experiments\ablation_final_20260308\models\no_curriculum_seed2.pt
