scenario,model_tag,method,method_label,seeds,cost_best_mean,cost_best_std,cost_mean_mean,cost_mean_std,cost_worst_mean,cost_worst_std
ablate_no_accept_reject,main,heuristic,Heuristic,3,998.2383422851562,13.091033587294834,1093.6515706380208,11.453077038769628,1186.7538655598958,8.522427265249384
ablate_no_accept_reject,main,local_search_truck,Truck Local Search,3,402.8563639322917,8.437462389581551,446.7059326171875,6.2848414848933585,491.0321553548177,5.75536257479972
ablate_no_accept_reject,main,model,HGAT-POMO,3,273.03061930338544,5.469213350417788,323.9969482421875,5.803982789184962,382.93105061848956,9.289538145264185
ablate_no_accept_reject,main,profit_accept,Profit Accept,3,998.705810546875,8.580415627168854,1093.6925862630208,10.066981258770062,1187.5670166015625,9.270692836932733
ablate_no_accept_reject,main,random,Random,3,953.3359781901041,7.132100263722184,1211.8500162760417,5.22958147067913,1497.1124674479167,0.5457023248626418
ablate_no_accept_reject,main,truck_only,Truck Only,3,324.89308675130206,4.07835246099234,352.7434997558594,4.65605123153512,380.3552958170573,3.8731195352225445
ablate_no_pickup_capacity,main,heuristic,Heuristic,3,299.0527648925781,9.1157495174836,365.56373087565106,11.296114243417643,485.9957275390625,14.393682655500479
ablate_no_pickup_capacity,main,local_search_truck,Truck Local Search,3,194.38328552246094,1.5699370483086141,301.0767313639323,2.244097726721937,433.75965372721356,8.901694563079609
ablate_no_pickup_capacity,main,model,HGAT-POMO,3,119.2076644897461,0.2906404023480358,157.14404805501303,1.8560609660582728,208.63879903157553,6.142803952952693
ablate_no_pickup_capacity,main,profit_accept,Profit Accept,3,294.90674845377606,8.525276346680023,330.5221455891927,9.041292573848152,366.85655721028644,9.579682473887104
ablate_no_pickup_capacity,main,random,Random,3,287.7850850423177,6.85397467495603,418.7978515625,8.754938906276985,592.7242431640625,17.330492423556894
ablate_no_pickup_capacity,main,truck_only,Truck Only,3,163.60956319173178,2.092166530577781,253.6946055094401,2.502179616441402,364.6161804199219,4.076287825281308
ablate_no_time_traffic,main,heuristic,Heuristic,3,290.0978698730469,10.181079283860395,347.85459391276044,11.046571034199234,444.80616251627606,11.459031433898668
ablate_no_time_traffic,main,local_search_truck,Truck Local Search,3,173.91641235351562,1.9525066286530293,223.82442220052084,0.7916810045583068,291.0914001464844,1.9662042378073075
ablate_no_time_traffic,main,model,HGAT-POMO,3,113.69717661539714,2.173935855506499,140.83133443196616,2.942984537622388,173.1343790690104,4.559176537593042
ablate_no_time_traffic,main,profit_accept,Profit Accept,3,286.1146748860677,8.150233042311108,322.07054646809894,9.581998503832029,360.4915364583333,11.432485972563924
ablate_no_time_traffic,main,random,Random,3,277.66053263346356,0.5507069380509384,403.3232828776042,5.318856454614708,575.6244303385416,16.357324942103904
ablate_no_time_traffic,main,truck_only,Truck Only,3,150.33987935384116,2.175284052299058,188.94700622558594,1.9718425867104517,240.20700073242188,1.2268708018389025
full_backup,backup,heuristic,Heuristic,3,301.5138244628906,9.949290925791207,360.77671305338544,10.905142757582489,460.7996520996094,14.059436451304112
full_backup,backup,local_search_truck,Truck Local Search,3,181.19068908691406,0.6490882623956297,231.38932291666666,1.5204571230450814,299.4012858072917,2.0733029528881928
full_backup,backup,model,HGAT-POMO,3,119.07343292236328,1.6142441242635377,148.9047393798828,2.8807150569694486,186.01798502604166,3.581906266961635
full_backup,backup,profit_accept,Profit Accept,3,298.27785237630206,8.746176249798525,336.9651184082031,9.994276100721768,377.87123616536456,13.66605290128303
full_backup,backup,random,Random,3,287.8839925130208,8.577166165506277,414.9003092447917,9.325834371186312,584.3859252929688,12.359910805156392
full_backup,backup,truck_only,Truck Only,3,156.13251241048178,1.6239646474671616,194.81682840983072,3.22075877552978,247.04444885253906,5.7471747619943665
full_main,main,heuristic,Heuristic,3,301.5138244628906,9.949290925791207,360.77671305338544,10.905142757582489,460.7996520996094,14.059436451304112
full_main,main,local_search_truck,Truck Local Search,3,181.19068908691406,0.6490882623956297,231.38932291666666,1.5204571230450814,299.4012858072917,2.0733029528881928
full_main,main,model,HGAT-POMO,3,118.7792739868164,1.4442487290806227,145.2553456624349,2.249035137556224,177.63343302408853,3.8058040017082986
full_main,main,profit_accept,Profit Accept,3,298.27785237630206,8.746176249798525,336.9651184082031,9.994276100721768,377.87123616536456,13.66605290128303
full_main,main,random,Random,3,290.36651611328125,2.928950888643,415.4845784505208,7.62403819601754,593.9773763020834,22.920291337200037
full_main,main,truck_only,Truck Only,3,156.13251241048178,1.6239646474671616,194.81682840983072,3.22075877552978,247.04444885253906,5.7471747619943665
