scenario,model_tag,method,method_label,seeds,accept_rate_mean,accept_rate_std,reject_rate_mean,reject_rate_std,on_time_rate_mean,on_time_rate_std,avg_lateness_mean,avg_lateness_std,total_revenue_mean,total_revenue_std,total_energy_mean,total_energy_std
ablate_no_accept_reject,main,heuristic,Heuristic,3,0.0,0.0,0.0,0.0,0.03433333337306976,0.0007200835675040158,52.14911905924479,0.6281403365825142,33.94407653808594,0.6041144477250731,13.535213788350424,0.18247369540690672
ablate_no_accept_reject,main,local_search_truck,Truck Local Search,3,0.0,0.0,0.0,0.0,0.18966665863990784,0.00518543213941657,20.383867899576824,0.4378330179994232,33.94407653808594,0.6041144477250731,4.833657264709473,0.14307025801216933
ablate_no_accept_reject,main,model,HGAT-POMO,3,0.0,0.0,0.0,0.0,0.24955556293328604,0.0015475960091384828,14.06898021697998,0.2857773359893683,33.94407653808594,0.6041144477250731,6.45718240737915,0.12149888326773275
ablate_no_accept_reject,main,profit_accept,Profit Accept,3,0.0,0.0,0.0,0.0,0.03455555438995361,0.0006285385860228346,52.2010866800944,0.4862126636831454,33.94407653808594,0.6041144477250731,13.475249608357748,0.11059774194013541
ablate_no_accept_reject,main,random,Random,3,0.0,0.0,0.0,0.0,0.09255557010571162,0.0023778872876009213,49.0225575764974,0.39436649258488177,33.94407653808594,0.6041144477250731,13.02188491821289,0.10433284039398914
ablate_no_accept_reject,main,truck_only,Truck Only,3,0.0,0.0,0.0,0.0,0.23288889229297638,0.0021998758314503695,16.901926040649414,0.22320352550150202,33.94407653808594,0.6041144477250731,4.042182366053264,0.10352540642649831
ablate_no_pickup_capacity,main,heuristic,Heuristic,3,0.0006666667177341878,0.0005443310956482738,0.9993333419164022,0.0005443159349219753,0.07278268039226532,0.0049688257756495225,24.877757390340168,0.7775263248119793,15.520495414733887,0.4178518810099923,5.279598553975423,0.04822376229862342
ablate_no_pickup_capacity,main,local_search_truck,Truck Local Search,3,0.024444447209437687,0.004878779098630419,0.9755555589993795,0.004878775846388152,0.1857376346985499,0.0009621523157729178,14.63291104634603,0.02123906995911523,15.976734479268393,0.34468404319443113,1.9331437746683757,0.019164909555166195
ablate_no_pickup_capacity,main,model,HGAT-POMO,3,0.002888888993766159,0.0026851213693609858,0.9971111218134562,0.0026851223842795906,0.2918406625588735,0.005442875101694811,9.084559122721354,0.0754465328952113,15.557330449422201,0.48093778862581343,3.1240511735280356,0.018355338814624762
ablate_no_pickup_capacity,main,profit_accept,Profit Accept,3,0.00022222223924472928,0.0003142697046008148,0.9997777740160624,0.00031427500039623316,0.07373611132303874,0.003441362938660811,24.51716423034668,0.6975993448037452,15.506689389546713,0.41697117934729155,5.263787587483724,0.03356998072336707
ablate_no_pickup_capacity,main,random,Random,3,0.0068888890867431956,0.0012570789281606772,0.9931110938390096,0.0012570859528709415,0.1328989639878273,0.010871629369570751,23.221747080485027,0.5934559418660901,15.627829551696777,0.45120893290451874,5.039041360219319,0.10147071353024777
ablate_no_pickup_capacity,main,truck_only,Truck Only,3,0.02266666789849599,0.002494440326095839,0.9773333668708801,0.0024944326929822722,0.2275469700495402,0.001868120862652325,12.617654800415039,0.21694357029743,15.923807144165039,0.4335482613606631,1.6369322141011555,0.018868561495600133
