scenario,model_tag,method,method_label,seeds,accept_rate_mean,accept_rate_std,reject_rate_mean,reject_rate_std,on_time_rate_mean,on_time_rate_std,avg_lateness_mean,avg_lateness_std,total_revenue_mean,total_revenue_std,total_energy_mean,total_energy_std
ablate_no_accept_reject,main,heuristic,Heuristic,1,0.0,0.0,0.0,0.0,0.01666666753590107,0.0,38.59325408935547,0.0,37.02793884277344,0.0,12.065793991088867,0.0
ablate_no_accept_reject,main,local_search_truck,Truck Local Search,1,0.0,0.0,0.0,0.0,0.25,0.0,13.529184341430664,0.0,37.02793884277344,0.0,3.859781265258789,0.0
ablate_no_accept_reject,main,model,HGAT-POMO,1,0.0,0.0,0.0,0.0,0.3166666626930237,0.0,9.938796043395996,0.0,37.02793884277344,0.0,5.989887237548828,0.0
ablate_no_accept_reject,main,profit_accept,Profit Accept,1,0.0,0.0,0.0,0.0,0.01666666753590107,0.0,37.99222946166992,0.0,37.02793884277344,0.0,11.534194946289062,0.0
ablate_no_accept_reject,main,random,Random,1,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,34.89635467529297,0.0,37.02793884277344,0.0,10.828426361083984,0.0
ablate_no_accept_reject,main,truck_only,Truck Only,1,0.0,0.0,0.0,0.0,0.25,0.0,11.592401504516602,0.0,37.02793884277344,0.0,3.417343854904175,0.0
ablate_no_pickup_capacity,main,heuristic,Heuristic,1,0.0,0.0,1.0,0.0,0.03333333507180214,0.0,16.678678512573242,0.0,18.049087524414062,0.0,4.739058017730713,0.0
ablate_no_pickup_capacity,main,local_search_truck,Truck Local Search,1,0.0,0.0,1.0,0.0,0.23333334922790527,0.0,12.213421821594238,0.0,18.049087524414062,0.0,1.837269902229309,0.0
ablate_no_pickup_capacity,main,model,HGAT-POMO,1,0.0,0.0,1.0,0.0,0.46666669845581055,0.0,5.006683826446533,0.0,18.049087524414062,0.0,2.7241673469543457,0.0
ablate_no_pickup_capacity,main,profit_accept,Profit Accept,1,0.0,0.0,1.0,0.0,0.0,0.0,15.393637657165527,0.0,18.049087524414062,0.0,4.505135536193848,0.0
ablate_no_pickup_capacity,main,random,Random,1,0.0,0.0,1.0,0.0,0.2666666805744171,0.0,20.659095764160156,0.0,18.049087524414062,0.0,4.6904802322387695,0.0
ablate_no_pickup_capacity,main,truck_only,Truck Only,1,0.10000000149011612,0.0,0.8999999761581421,0.0,0.1944444477558136,0.0,9.894746780395508,0.0,19.887725830078125,0.0,1.7002456188201904,0.0
ablate_no_time_traffic,main,heuristic,Heuristic,1,0.0,0.0,1.0,0.0,0.0,0.0,15.164525032043457,0.0,18.049087524414062,0.0,5.780684471130371,0.0
ablate_no_time_traffic,main,local_search_truck,Truck Local Search,1,0.23333333432674408,0.0,0.7666666507720947,0.0,0.2604166865348816,0.0,8.096298217773438,0.0,22.450162887573242,0.0,2.121734857559204,0.0
ablate_no_time_traffic,main,model,HGAT-POMO,1,0.0,0.0,1.0,0.0,0.4000000059604645,0.0,4.76762580871582,0.0,18.049087524414062,0.0,3.2006728649139404,0.0
ablate_no_time_traffic,main,profit_accept,Profit Accept,1,0.0,0.0,1.0,0.0,0.0,0.0,14.801873207092285,0.0,18.049087524414062,0.0,5.381484031677246,0.0
ablate_no_time_traffic,main,random,Random,1,0.03333333507180214,0.0,0.9666666984558105,0.0,0.19166666269302368,0.0,12.864849090576172,0.0,18.615530014038086,0.0,4.620237350463867,0.0
ablate_no_time_traffic,main,truck_only,Truck Only,1,0.1666666716337204,0.0,0.8333333730697632,0.0,0.3916666507720947,0.0,7.245322227478027,0.0,20.95941162109375,0.0,1.9479382038116455,0.0
full_backup,backup,heuristic,Heuristic,1,0.0,0.0,1.0,0.0,0.03333333507180214,0.0,16.678678512573242,0.0,18.049087524414062,0.0,5.780684471130371,0.0
full_backup,backup,local_search_truck,Truck Local Search,1,0.2666666805744171,0.0,0.7333333492279053,0.0,0.13025210797786713,0.0,11.264021873474121,0.0,23.808515548706055,0.0,2.291856288909912,0.0
full_backup,backup,model,HGAT-POMO,1,0.03333333507180214,0.0,0.9666666984558105,0.0,0.2916666865348816,0.0,5.783681869506836,0.0,19.127605438232422,0.0,3.3181214332580566,0.0
full_backup,backup,profit_accept,Profit Accept,1,0.0,0.0,1.0,0.0,0.0,0.0,15.428450584411621,0.0,18.049087524414062,0.0,5.381484031677246,0.0
full_backup,backup,random,Random,1,0.0,0.0,1.0,0.0,0.20000001788139343,0.0,17.78598976135254,0.0,18.049087524414062,0.0,5.849617004394531,0.0
full_backup,backup,truck_only,Truck Only,1,0.10000000149011612,0.0,0.8999999761581421,0.0,0.25,0.0,7.642751693725586,0.0,19.887725830078125,0.0,1.7138458490371704,0.0
full_main,main,heuristic,Heuristic,1,0.0,0.0,1.0,0.0,0.03333333507180214,0.0,16.678678512573242,0.0,18.049087524414062,0.0,5.780684471130371,0.0
full_main,main,local_search_truck,Truck Local Search,1,0.2666666805744171,0.0,0.7333333492279053,0.0,0.13025210797786713,0.0,11.264021873474121,0.0,23.808515548706055,0.0,2.291856288909912,0.0
full_main,main,model,HGAT-POMO,1,0.0,0.0,1.0,0.0,0.4000000059604645,0.0,4.97852897644043,0.0,18.049087524414062,0.0,3.280318260192871,0.0
full_main,main,profit_accept,Profit Accept,1,0.0,0.0,1.0,0.0,0.0,0.0,15.428450584411621,0.0,18.049087524414062,0.0,5.381484031677246,0.0
full_main,main,random,Random,1,0.0,0.0,1.0,0.0,0.10000000894069672,0.0,17.962087631225586,0.0,18.049087524414062,0.0,5.525830268859863,0.0
full_main,main,truck_only,Truck Only,1,0.10000000149011612,0.0,0.8999999761581421,0.0,0.25,0.0,7.642751693725586,0.0,19.887725830078125,0.0,1.7138458490371704,0.0
